time,x,y,z,phi,theta,psi,u,v,w,p,q,r,Stern plane (deg) (command),Stern plane (deg) (actual),buoy_x,buoy_y,buoy_z,buoy_phi,buoy_theta,buoy_psi,dock_x,dock_y,dock_z,dock_phi,dock_theta,dock_psi
1.26,5.17859853127156,0.0,49.997673532699174,0.0,0.0019590355966562973,0.0,4.11,0.0,-0.001835586471010591,0.0,0.006298013175577012,0.0,-0.04027977856213261,-0.012604183903283845,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.28,5.260798297231112,0.0,49.99747354928834,0.0,0.0020909702397507233,0.0,4.11,0.0,-0.0019475431267401944,0.0,0.006596732154721298,0.0,-0.0415328305557916,-0.01315769579646082,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.3,5.342998031215612,0.0,49.99726038948187,0.0,0.00222902411790628,0.0,4.11,0.0,-0.002064113412401935,0.0,0.006902693907777829,0.0,-0.04280322524266902,-0.013725198491647436,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.32,5.425197729582745,0.0,49.99703345618318,0.0,0.0023733409000512903,0.0,4.11,0.0,-0.0021853888254580152,0.0,0.007215839107250517,0.0,-0.04409086177245819,-0.014306759026667868,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.34,5.507397388359407,0.0,49.99679213867629,0.0,0.002524062973690376,0.0,4.11,0.0,-0.002311459912476157,0.0,0.007536103681954268,0.0,-0.04539563841636513,-0.014902441081583674,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.36,5.589597003219691,0.0,49.99653581275116,0.0,0.0026813313537905666,0.0,4.11,0.0,-0.0024424162300363474,0.0,0.007863419005009538,0.0,-0.04671745258009808,-0.015512305028279303,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.3800000000000001,5.671796569462012,0.0,49.9962638408372,0.0,0.0028452855954046712,0.0,4.11,0.0,-0.0025783463075114187,0.0,0.008197712080705232,0.0,-0.04805620081717211,-0.01613640797931568,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.4000000000000001,5.753996081985383,0.0,49.995975572144744,0.0,0.0030160637100032864,0.0,4.11,0.0,-0.002719337611684872,0.0,0.008538905729930752,0.0,-0.04941177884250969,-0.016774803836072806,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.42,5.836195535264817,0.0,49.99567034281405,0.0,0.0031938020854813402,0.0,4.11,0.0,-0.0028654765131684995,0.0,0.008886918773902687,0.0,-0.05078408154632344,-0.017427543336201543,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.44,5.918394923325897,0.0,49.99534747607158,0.0,0.0033786354098000416,0.0,4.11,0.0,-0.003016848254581649,0.0,0.009241666215935076,0.0,-0.0521730030082585,-0.018094674100403982,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.46,6.000594239718483,0.0,49.99500628239313,0.0,0.003570696598220527,0.0,4.11,0.0,-0.003173536920453383,0.0,0.009603059421024272,0.0,-0.05357843651178461,-0.01877624067856107,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.48,6.082793477489591,0.0,49.99464605967357,0.0,0.0037701167240813353,0.0,4.11,0.0,-0.003335625408808291,0.0,0.009971006293040412,0.0,-0.05500027455881915,-0.019472284595225542,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.5,6.164992629155434,0.0,49.99426609340285,0.0,0.003977024953068081,0.0,4.11,0.0,-0.0035031954043963456,0.0,0.010345411449337297,0.0,-0.056438408884565146,-0.020182844394497416,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.52,6.24719168667265,0.0,49.99386565684789,0.0,0.004191548480920304,0.0,4.11,0.0,-0.00367632735352691,0.0,0.010726176392611145,0.0,-0.05789273047254976,-0.02090795568429877,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
1.54,6.329390641408713,0.0,49.99344401124014,0.0,0.004413812474517432,0.0,4.11,0.0,-0.0038551004404668273,0.0,0.011113199679856361,0.0,-0.05936312956984863,-0.02164765118006379,411.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,10.0,0.0,0.0,0.0
